College Name,Course Name,Percent,Category
"Dr. D. Y. Patil School OF Engineering, Lohegaon, Pune",Computer Engineering,88.0,GOPEN
"KJEI's Trinity Academy of Engineering, Yewalewadi, Pune",Computer Engineering,88.0,GOPEN
"Jawahar Education Society's Annasaheb Chudaman Patil College of Engineering,Kharghar, Navi Mumbai",Computer Engineering,88.0,GOPEN
"Shree L.R. Tiwari College of Engineering, Mira Road, Mumbai",Computer Engineering,87.9429,GOPEN
"Vidya Pratishthan's Kamalnayan Bajaj Institute of Engineering & Technology, Baramati Dist.Pune",Computer Engineering,87.94,GOPEN
"Dr. D. Y. Patil School of Engineering & Technology, Charholi(Bk), Via Lohgaon, Pune",Computer Engineering,87.8857,GOPEN
"Maratha Vidya Prasarak Samaj's Karmaveer Adv. Baburao Ganpatrao Thakare College Of Engineering, Nashik",Computer Engineering,87.83,GOPEN
"R. C. Patel Institute of Technology, Shirpur",Computer Engineering,87.8286,GOPEN
"Sandip Foundation, Sandip Institute of Technology and Research Centre, Mahiravani, Nashik",Computer Engineering,87.8125,GOPEN
"Sinhgad Technical Education Society's Smt. Kashibai Navale College of Engineering,Vadgaon,Pune",Computer Engineering,87.71,GOPEN
